date,probability
735735,0.0
736101,0.0
735859,0.0
736183,0.0
719163,0.0
735697,0.0
736041,0.0
735726,0.0
736230,0.0
735759,0.0
736211,0.0
735804,0.0
719163,0.0
719163,0.0
735971,0.0
736153,0.0
735799,0.0
719163,0.0
735819,0.0
736085,1.0
736150,0.0
735929,0.0
719163,0.0
736018,0.0
736058,0.0
719163,0.0
735834,0.0
736304,0.0
735774,0.0
719163,0.0
736212,0.0
735731,0.0
719163,0.0
719163,0.0
719163,0.0
736215,0.0
736047,0.0
735729,0.0
735916,0.0
735808,0.0
736301,0.0
719163,0.0
735744,0.0
736166,0.0
736123,0.0
736299,0.0
719163,0.0
735921,1.0
719163,0.0
719163,0.0
719163,0.0
719163,0.0
736272,0.0
736001,0.0
719163,0.0
736132,0.0
719163,0.0
736302,0.0
736192,0.0
736075,0.0
736143,0.0
735728,0.0
735762,0.0
719163,0.0
735663,0.0
736206,0.0
719163,0.0
736029,0.0
736202,0.0
735962,0.0
735794,0.0
719163,0.0
735961,0.0
736097,0.0
735952,0.0
736243,0.0
719163,0.0
719163,0.0
736134,0.0
735777,0.0
736133,0.0
736223,1.0
719163,0.0
736110,0.0
736105,0.0
735993,0.0
735810,0.0
719163,0.0
719163,0.0
736276,0.0
735668,0.0
735994,0.0
719163,0.0
719163,0.0
719163,0.0
736200,0.0
736050,0.0
735775,0.0
735985,0.0
735797,0.0
736103,0.0
736028,0.0
736080,0.0
736090,0.0
736012,0.0
735693,0.0
736053,0.0
735766,0.0
736178,0.0
735730,0.0
736013,0.0
735821,0.0
736232,0.0
735920,0.0
735740,0.0
735954,1.0
736241,0.0
719163,0.0
719163,0.0
735850,0.0
735746,0.0
736025,0.0
719163,0.0
736112,1.0
735939,0.0
735901,0.0
735789,0.0
736106,0.0
719163,0.0
735788,0.0
735882,0.0
719163,0.0
719163,0.0
736007,1.0
736046,0.0
